OrderID,Date,CustomerID,Region,ProductName,Category,Quantity,UnitPrice,TotalAmount,OrderStatus,SalesAgent
ORD00027,2025-05-08,CUST1784,West,Cycle Helmet,Sports,3,1508,4524,Completed,Sneha Patel
ORD00028,2025-02-08,CUST2815,East,Smartwatch,Electronics,1,9137,9137,Returned,Rahul Mehta
ORD00029,2025-03-27,CUST2664,South,Snack Box,Food,7,450,3150,Completed,Lakshmi Rao
ORD00030,2025-07-19,CUST2086,South,Bookshelf,Furniture,9,6392,57528,Completed,Lakshmi Rao
ORD00031,2025-06-01,CUST1891,East,Jump Rope,Sports,1,326,326,Completed,Ankit Joshi
ORD00032,2025-09-02,CUST3059,West,Smartwatch,Electronics,2,8902,17804,Completed,Sneha Patel
ORD00033,2025-12-12,CUST4530,West,Organic Pack,Food,10,769,7690,Completed,Kavita Nair
ORD00034,2025-02-11,CUST2717,North,Table,Furniture,6,7677,46062,Completed,Vijay Kumar
ORD00035,2025-11-27,CUST2228,South,Chair,Furniture,1,5072,5072,Returned,Lakshmi Rao
ORD00036,2025-02-07,CUST3202,West,Running Shoes,Sports,3,4533,13599,Returned,Sneha Patel
ORD00037,2025-07-09,CUST2167,West,Fruit Basket,Food,5,526,2630,Returned,Kavita Nair
ORD00038,2025-09-28,CUST1032,North,Smartphone,Electronics,5,20434,102170,Completed,Vijay Kumar
ORD00039,2025-03-21,CUST2115,North,Dumbbells,Sports,6,1901,11406,Completed,Neha Gupta
ORD00040,2025-09-16,CUST3001,North,Laptop,Electronics,7,60903,426321,Completed,Neha Gupta
ORD00041,2025-03-08,CUST3609,North,Shoes,Clothing,9,3229,29061,Completed,Amit Sharma
ORD00042,2025-02-08,CUST4870,West,Yoga Mat,Sports,6,1254,7524,Completed,Sneha Patel
ORD00043,2025-01-22,CUST2262,North,Tablet,Electronics,4,19269,77076,Completed,Neha Gupta
ORD00044,2025-10-14,CUST4621,South,Dumbbells,Sports,4,2232,8928,Returned,Lakshmi Rao
ORD00045,2025-07-31,CUST1101,West,Bookshelf,Furniture,4,5800,23200,Cancelled,Sneha Patel
ORD00046,2025-07-15,CUST4572,East,Snack Box,Food,4,441,1764,Completed,Priya Shah
ORD00047,2025-04-27,CUST1913,East,Shoes,Clothing,6,2908,17448,Completed,Priya Shah
ORD00048,2025-06-29,CUST3627,South,Running Shoes,Sports,1,3715,3715,Returned,Lakshmi Rao
ORD00049,2025-10-25,CUST4942,North,Laptop,Electronics,10,55475,554750,Completed,Neha Gupta
ORD00050,2025-08-12,CUST3483,East,Fruit Basket,Food,4,481,1924,Completed,Rahul Mehta
ORD00051,2025-09-24,CUST4791,West,Bookshelf,Furniture,2,6823,13646,Returned,Kavita Nair
ORD00052,2025-06-10,CUST3717,East,Desk,Furniture,5,9600,48000,Completed,Ankit Joshi
ORD00053,2025-06-01,CUST3270,West,Shoes,Clothing,7,3207,22449,Returned,Kavita Nair
ORD00054,2025-10-19,CUST2232,South,Yoga Mat,Sports,5,1166,5830,Completed,Divya Menon
ORD00055,2025-11-07,CUST3681,North,Spice Kit,Food,8,374,2992,Completed,Vijay Kumar
ORD00056,2025-03-28,CUST3698,East,Desk,Furniture,10,8854,88540,Cancelled,Rahul Mehta
ORD00057,2025-12-11,CUST2271,West,Jeans,Clothing,1,1093,1093,Returned,Kavita Nair
ORD00058,2025-02-07,CUST2865,South,Dumbbells,Sports,7,2047,14329,Completed,Divya Menon
ORD00059,2025-12-19,CUST1022,East,Snack Box,Food,3,440,1320,Completed,Priya Shah
ORD00060,2025-01-26,CUST3283,West,Headphones,Electronics,3,3851,11553,Cancelled,Kavita Nair
ORD00061,2025-11-01,CUST2299,South,Jump Rope,Sports,7,332,2324,Completed,Lakshmi Rao
ORD00062,2025-09-01,CUST2843,North,Jacket,Clothing,9,2552,22968,Completed,Neha Gupta
ORD00063,2025-02-09,CUST3922,North,Jacket,Clothing,6,2449,14694,Completed,Amit Sharma
ORD00064,2025-03-19,CUST1947,South,Jeans,Clothing,2,1204,2408,Completed,Suresh Babu
ORD00065,2025-08-01,CUST1255,West,Spice Kit,Food,10,397,3970,Completed,Kavita Nair
ORD00066,2025-07-14,CUST2953,East,Sofa,Furniture,7,27834,194838,Returned,Priya Shah
ORD00067,2025-10-03,CUST4061,West,Snack Box,Food,5,403,2015,Completed,Rohan Desai
ORD00068,2025-12-09,CUST3781,South,Shoes,Clothing,3,3435,10305,Completed,Suresh Babu
ORD00069,2025-10-31,CUST3311,East,Headphones,Electronics,3,3908,11724,Completed,Priya Shah
ORD00070,2025-07-14,CUST2340,West,Beverage Set,Food,6,654,3924,Completed,Rohan Desai
ORD00071,2025-05-10,CUST4419,East,Organic Pack,Food,9,730,6570,Returned,Rahul Mehta
ORD00072,2025-11-29,CUST1281,East,Smartphone,Electronics,4,24415,97660,Completed,Rahul Mehta
ORD00073,2025-03-06,CUST2939,East,Dumbbells,Sports,8,2149,17192,Cancelled,Rahul Mehta
ORD00074,2025-11-07,CUST3487,East,Jacket,Clothing,2,2611,5222,Returned,Ankit Joshi
ORD00075,2025-12-13,CUST4719,South,Snack Box,Food,2,419,838,Cancelled,Lakshmi Rao
ORD00076,2025-02-22,CUST3855,North,Yoga Mat,Sports,10,1314,13140,Completed,Neha Gupta
ORD00077,2025-12-05,CUST2517,East,Running Shoes,Sports,1,4449,4449,Cancelled,Rahul Mehta
ORD00078,2025-08-10,CUST4935,North,Snack Box,Food,7,377,2639,Completed,Vijay Kumar
ORD00079,2025-05-19,CUST3522,South,Spice Kit,Food,10,338,3380,Returned,Lakshmi Rao
ORD00080,2025-05-23,CUST4611,South,Shoes,Clothing,10,3157,31570,Completed,Lakshmi Rao
ORD00081,2025-09-11,CUST4485,North,Shoes,Clothing,4,2966,11864,Completed,Neha Gupta
ORD00082,2025-11-02,CUST3872,North,Yoga Mat,Sports,9,1364,12276,Completed,Vijay Kumar
ORD00083,2025-07-28,CUST3001,West,Spice Kit,Food,8,384,3072,Completed,Sneha Patel
ORD00084,2025-07-27,CUST3833,West,Desk,Furniture,6,9164,54984,Completed,Rohan Desai
ORD00085,2025-10-09,CUST2354,North,Beverage Set,Food,5,577,2885,Completed,Amit Sharma
ORD00086,2025-06-11,CUST1489,West,Jeans,Clothing,8,1162,9296,Completed,Kavita Nair
ORD00087,2025-11-02,CUST2159,East,Jacket,Clothing,4,2475,9900,Completed,Ankit Joshi
ORD00088,2025-10-01,CUST1518,North,Laptop,Electronics,9,53516,481644,Returned,Vijay Kumar
ORD00089,2025-09-09,CUST1420,East,Running Shoes,Sports,8,4078,32624,Completed,Rahul Mehta
ORD00090,2025-05-10,CUST4854,South,Laptop,Electronics,7,56261,393827,Completed,Divya Menon
ORD00091,2025-01-28,CUST1621,West,Running Shoes,Sports,2,4593,9186,Completed,Rohan Desai
ORD00092,2025-11-07,CUST3441,West,Cycle Helmet,Sports,8,1690,13520,Completed,Kavita Nair
ORD00093,2025-08-08,CUST2250,East,Yoga Mat,Sports,4,1267,5068,Completed,Rahul Mehta
ORD00094,2025-03-22,CUST1982,West,Yoga Mat,Sports,3,1080,3240,Completed,Kavita Nair
ORD00095,2025-08-29,CUST2192,East,Jacket,Clothing,5,2689,13445,Completed,Ankit Joshi
ORD00096,2025-04-30,CUST4784,North,Dumbbells,Sports,7,1857,12999,Completed,Amit Sharma
ORD00097,2025-05-17,CUST4385,West,Laptop,Electronics,3,60398,181194,Completed,Kavita Nair
ORD00098,2025-05-28,CUST2798,East,Beverage Set,Food,7,681,4767,Completed,Priya Shah
ORD00099,2025-08-13,CUST1329,East,Beverage Set,Food,10,577,5770,Completed,Ankit Joshi
ORD00100,2025-10-22,CUST3404,East,Desk,Furniture,1,9816,9816,Completed,Ankit Joshi
ORD00101,2025-11-30,CUST2811,North,Dress,Clothing,7,1905,13335,Completed,Amit Sharma
ORD00102,2025-08-29,CUST2425,South,Sofa,Furniture,2,27860,55720,Completed,Divya Menon
ORD00103,2025-09-11,CUST2180,South,Yoga Mat,Sports,8,1106,8848,Completed,Lakshmi Rao
ORD00104,2025-07-26,CUST4542,East,Cycle Helmet,Sports,7,1370,9590,Completed,Ankit Joshi
ORD00105,2025-09-13,CUST3561,South,Smartphone,Electronics,5,22820,114100,Returned,Suresh Babu
ORD00106,2025-12-24,CUST2985,East,Smartwatch,Electronics,4,8619,34476,Completed,Rahul Mehta
ORD00107,2025-10-10,CUST2671,East,T-Shirt,Clothing,8,568,4544,Completed,Rahul Mehta
ORD00108,2025-09-13,CUST4820,North,Running Shoes,Sports,7,4434,31038,Returned,Amit Sharma
ORD00109,2025-08-22,CUST3257,West,Snack Box,Food,10,410,4100,Returned,Sneha Patel
ORD00110,2025-05-22,CUST4164,South,Desk,Furniture,5,9946,49730,Completed,Suresh Babu
ORD00111,2025-10-28,CUST3375,South,Shoes,Clothing,9,3063,27567,Completed,Divya Menon
ORD00112,2025-07-13,CUST2865,North,Jeans,Clothing,10,1194,11940,Cancelled,Neha Gupta
ORD00113,2025-01-23,CUST2303,South,Spice Kit,Food,3,358,1074,Completed,Divya Menon
ORD00114,2025-10-30,CUST2359,East,Organic Pack,Food,9,902,8118,Completed,Rahul Mehta
ORD00115,2025-07-29,CUST4567,West,Headphones,Electronics,5,3446,17230,Cancelled,Kavita Nair
ORD00116,2025-02-11,CUST4488,North,Cycle Helmet,Sports,6,1585,9510,Cancelled,Neha Gupta
ORD00117,2025-10-05,CUST1147,East,Jacket,Clothing,4,2716,10864,Completed,Rahul Mehta
ORD00118,2025-11-21,CUST3883,East,Snack Box,Food,5,450,2250,Completed,Rahul Mehta
ORD00119,2025-05-31,CUST2468,North,Snack Box,Food,4,413,1652,Completed,Amit Sharma
ORD00120,2025-03-29,CUST1717,East,Cycle Helmet,Sports,10,1606,16060,Completed,Ankit Joshi
ORD00121,2025-03-15,CUST1951,South,Bookshelf,Furniture,5,6400,32000,Returned,Suresh Babu
ORD00122,2025-05-28,CUST3775,West,Headphones,Electronics,6,4014,24084,Completed,Rohan Desai
ORD00123,2025-12-20,CUST2024,South,Table,Furniture,7,8906,62342,Completed,Suresh Babu
ORD00124,2025-10-20,CUST2470,North,Chair,Furniture,7,4843,33901,Completed,Vijay Kumar
ORD00125,2025-01-26,CUST4729,South,Table,Furniture,10,8803,88030,Completed,Lakshmi Rao
ORD00126,2025-11-14,CUST2026,West,Laptop,Electronics,5,60343,301715,Completed,Rohan Desai
ORD00127,2025-03-09,CUST1369,North,Bookshelf,Furniture,3,5701,17103,Cancelled,Neha Gupta
ORD00128,2025-09-29,CUST3055,North,Jacket,Clothing,8,2854,22832,Completed,Neha Gupta
ORD00129,2025-02-28,CUST2918,East,Jeans,Clothing,7,1370,9590,Cancelled,Priya Shah
ORD00130,2025-02-16,CUST4238,South,Tablet,Electronics,9,16756,150804,Completed,Divya Menon
ORD00131,2025-12-11,CUST2073,South,Chair,Furniture,4,5089,20356,Cancelled,Divya Menon
ORD00132,2025-06-17,CUST4748,West,Headphones,Electronics,5,3718,18590,Completed,Sneha Patel
ORD00133,2025-01-20,CUST2246,South,Laptop,Electronics,4,61699,246796,Completed,Suresh Babu
ORD00134,2025-07-09,CUST3746,South,Dumbbells,Sports,7,2127,14889,Cancelled,Divya Menon
ORD00135,2025-07-28,CUST4846,North,Tablet,Electronics,4,18195,72780,Returned,Neha Gupta
ORD00136,2025-02-20,CUST3808,North,Running Shoes,Sports,1,3998,3998,Completed,Amit Sharma
ORD00137,2025-08-21,CUST1375,West,Yoga Mat,Sports,1,1316,1316,Completed,Sneha Patel
ORD00138,2025-10-17,CUST1840,East,Dumbbells,Sports,10,1907,19070,Cancelled,Priya Shah
ORD00139,2025-03-17,CUST4230,East,Table,Furniture,3,8280,24840,Cancelled,Rahul Mehta
ORD00140,2025-12-05,CUST4548,East,T-Shirt,Clothing,6,548,3288,Completed,Priya Shah
ORD00141,2025-01-09,CUST1713,North,Smartphone,Electronics,7,22693,158851,Completed,Neha Gupta
ORD00142,2025-08-18,CUST4186,North,Jump Rope,Sports,2,303,606,Completed,Vijay Kumar
ORD00143,2025-01-23,CUST3978,North,Organic Pack,Food,1,919,919,Cancelled,Neha Gupta
ORD00144,2025-12-18,CUST1442,South,Organic Pack,Food,2,784,1568,Completed,Lakshmi Rao
ORD00145,2025-05-21,CUST3557,North,Fruit Basket,Food,9,486,4374,Completed,Neha Gupta
ORD00146,2025-02-20,CUST4248,East,Dumbbells,Sports,7,2025,14175,Completed,Priya Shah
ORD00147,2025-08-21,CUST2633,South,Tablet,Electronics,7,17606,123242,Completed,Lakshmi Rao
ORD00148,2025-12-18,CUST4780,South,Laptop,Electronics,2,50781,101562,Completed,Divya Menon
ORD00149,2025-07-10,CUST4325,West,Yoga Mat,Sports,10,1366,13660,Completed,Kavita Nair
ORD00150,2025-03-04,CUST2682,North,Organic Pack,Food,5,840,4200,Completed,Vijay Kumar
ORD00151,2025-09-17,CUST1871,West,Snack Box,Food,2,395,790,Completed,Sneha Patel
ORD00152,2025-05-23,CUST3351,West,Fruit Basket,Food,10,526,5260,Completed,Sneha Patel
ORD00153,2025-11-08,CUST4805,North,Smartphone,Electronics,5,23664,118320,Completed,Neha Gupta
ORD00154,2025-06-29,CUST1025,West,Dress,Clothing,7,1651,11557,Cancelled,Sneha Patel
ORD00155,2025-02-16,CUST4056,West,Spice Kit,Food,8,344,2752,Completed,Kavita Nair
ORD00156,2025-06-16,CUST4181,East,Smartphone,Electronics,3,23949,71847,Completed,Rahul Mehta
ORD00157,2025-05-20,CUST2814,South,Fruit Basket,Food,8,501,4008,Completed,Divya Menon
ORD00158,2025-02-28,CUST2413,South,Tablet,Electronics,10,18389,183890,Cancelled,Lakshmi Rao
ORD00159,2025-04-23,CUST2618,East,Smartphone,Electronics,5,24999,124995,Cancelled,Priya Shah
ORD00160,2025-05-29,CUST2343,East,Headphones,Electronics,7,3303,23121,Completed,Ankit Joshi
ORD00161,2025-04-28,CUST3049,North,Headphones,Electronics,1,3531,3531,Completed,Amit Sharma
ORD00162,2025-06-10,CUST3358,South,Cycle Helmet,Sports,7,1458,10206,Completed,Suresh Babu
ORD00163,2025-03-29,CUST4282,South,Chair,Furniture,7,5555,38885,Completed,Divya Menon
ORD00164,2025-07-25,CUST3146,East,Beverage Set,Food,6,573,3438,Cancelled,Rahul Mehta
ORD00165,2025-09-19,CUST3593,East,Jump Rope,Sports,4,337,1348,Completed,Ankit Joshi
ORD00166,2025-11-27,CUST4338,West,T-Shirt,Clothing,3,481,1443,Completed,Sneha Patel
ORD00167,2025-12-02,CUST1308,West,Spice Kit,Food,10,381,3810,Completed,Kavita Nair
ORD00168,2025-11-26,CUST3602,North,Table,Furniture,8,7336,58688,Completed,Neha Gupta
ORD00169,2025-05-21,CUST3422,East,Desk,Furniture,2,8798,17596,Completed,Rahul Mehta
ORD00170,2025-07-08,CUST4406,North,Laptop,Electronics,10,57668,576680,Completed,Vijay Kumar
ORD00171,2025-10-11,CUST4908,East,Fruit Basket,Food,4,490,1960,Completed,Rahul Mehta
ORD00172,2025-02-01,CUST2845,East,Chair,Furniture,9,5307,47763,Completed,Ankit Joshi
ORD00173,2025-08-13,CUST2799,West,Sofa,Furniture,5,24921,124605,Cancelled,Kavita Nair
ORD00174,2025-11-03,CUST1214,North,Tablet,Electronics,2,18710,37420,Completed,Neha Gupta
ORD00175,2025-12-03,CUST4950,West,Chair,Furniture,10,5329,53290,Returned,Rohan Desai
ORD00176,2025-12-02,CUST3860,South,Dress,Clothing,2,1759,3518,Completed,Suresh Babu
ORD00177,2025-03-07,CUST3744,East,Fruit Basket,Food,6,452,2712,Completed,Rahul Mehta
ORD00178,2025-06-24,CUST4881,South,Jeans,Clothing,3,1126,3378,Completed,Lakshmi Rao
ORD00179,2025-09-17,CUST4157,East,Desk,Furniture,3,9443,28329,Completed,Rahul Mehta
ORD00180,2025-12-21,CUST4158,West,Organic Pack,Food,7,792,5544,Cancelled,Rohan Desai
ORD00181,2025-11-09,CUST2167,South,Dress,Clothing,4,1759,7036,Cancelled,Suresh Babu
ORD00182,2025-04-10,CUST2506,South,Beverage Set,Food,7,615,4305,Completed,Lakshmi Rao
ORD00183,2025-04-13,CUST4281,West,Chair,Furniture,8,5592,44736,Completed,Sneha Patel
ORD00184,2025-12-31,CUST4464,East,Chair,Furniture,3,4840,14520,Returned,Rahul Mehta
ORD00185,2025-08-12,CUST1375,West,Beverage Set,Food,1,602,602,Completed,Rohan Desai
ORD00186,2025-05-01,CUST2581,East,Table,Furniture,1,7837,7837,Completed,Ankit Joshi
ORD00187,2025-11-29,CUST2373,West,T-Shirt,Clothing,5,564,2820,Completed,Sneha Patel
ORD00188,2025-12-28,CUST2921,South,Yoga Mat,Sports,2,1085,2170,Completed,Lakshmi Rao
ORD00189,2025-10-08,CUST4851,South,Tablet,Electronics,4,17555,70220,Completed,Suresh Babu
ORD00190,2025-11-24,CUST4251,South,Laptop,Electronics,8,57705,461640,Completed,Divya Menon
ORD00191,2025-10-22,CUST1990,West,Bookshelf,Furniture,1,6322,6322,Completed,Rohan Desai
ORD00192,2025-04-06,CUST3721,East,Running Shoes,Sports,2,4553,9106,Completed,Ankit Joshi
ORD00193,2025-10-11,CUST1083,South,Organic Pack,Food,7,916,6412,Completed,Lakshmi Rao
ORD00194,2025-07-02,CUST4229,East,Table,Furniture,2,8743,17486,Cancelled,Priya Shah
ORD00195,2025-03-10,CUST1181,North,Running Shoes,Sports,3,4430,13290,Completed,Vijay Kumar
ORD00196,2025-09-03,CUST3587,West,T-Shirt,Clothing,8,454,3632,Completed,Sneha Patel
ORD00197,2025-01-22,CUST2292,North,Cycle Helmet,Sports,9,1527,13743,Completed,Vijay Kumar
ORD00198,2025-04-08,CUST2171,North,Tablet,Electronics,5,16760,83800,Completed,Neha Gupta
ORD00199,2025-08-14,CUST4664,South,Table,Furniture,8,8584,68672,Completed,Divya Menon
ORD00200,2025-05-17,CUST4281,East,Organic Pack,Food,7,840,5880,Cancelled,Ankit Joshi
ORD00201,2025-05-31,CUST2315,East,Tablet,Electronics,5,17579,87895,Completed,Priya Shah
ORD00202,2025-03-27,CUST3825,South,Bookshelf,Furniture,1,6490,6490,Returned,Divya Menon
ORD00203,2025-08-11,CUST2124,East,Headphones,Electronics,6,3598,21588,Cancelled,Rahul Mehta
ORD00204,2025-01-16,CUST1584,South,Smartphone,Electronics,2,21097,42194,Cancelled,Suresh Babu
ORD00205,2025-07-16,CUST4889,East,Dumbbells,Sports,8,2274,18192,Completed,Rahul Mehta
ORD00206,2025-10-21,CUST1563,North,Beverage Set,Food,5,577,2885,Completed,Vijay Kumar
ORD00207,2025-04-06,CUST3044,South,Yoga Mat,Sports,5,1312,6560,Cancelled,Lakshmi Rao
ORD00208,2025-11-10,CUST2169,South,T-Shirt,Clothing,3,556,1668,Completed,Divya Menon
ORD00209,2025-08-16,CUST1359,North,Chair,Furniture,9,5177,46593,Cancelled,Amit Sharma
ORD00210,2025-12-31,CUST3906,West,Desk,Furniture,4,8373,33492,Completed,Sneha Patel
ORD00211,2025-05-02,CUST4237,South,Tablet,Electronics,9,18775,168975,Completed,Divya Menon
ORD00212,2025-03-08,CUST3506,East,Tablet,Electronics,7,20698,144886,Completed,Ankit Joshi
ORD00213,2025-07-30,CUST4150,South,Yoga Mat,Sports,3,1371,4113,Cancelled,Suresh Babu
ORD00214,2025-08-27,CUST3785,North,Dress,Clothing,10,1701,17010,Returned,Neha Gupta
ORD00215,2025-09-15,CUST4730,East,Smartwatch,Electronics,3,7808,23424,Completed,Ankit Joshi
ORD00216,2025-04-26,CUST2417,North,Tablet,Electronics,4,19057,76228,Completed,Amit Sharma
ORD00217,2025-11-17,CUST2240,East,Dumbbells,Sports,10,2270,22700,Completed,Ankit Joshi
ORD00218,2025-11-16,CUST3951,North,Yoga Mat,Sports,1,1104,1104,Returned,Vijay Kumar
ORD00219,2025-05-16,CUST3667,West,Cycle Helmet,Sports,10,1589,15890,Completed,Kavita Nair
ORD00220,2025-10-07,CUST2186,North,Snack Box,Food,7,389,2723,Completed,Amit Sharma
ORD00221,2025-03-22,CUST2800,South,Spice Kit,Food,4,344,1376,Completed,Divya Menon
ORD00222,2025-06-13,CUST4007,North,Snack Box,Food,6,411,2466,Completed,Amit Sharma
ORD00223,2025-08-27,CUST1501,North,Snack Box,Food,3,369,1107,Completed,Neha Gupta
ORD00224,2025-11-12,CUST2712,West,Jacket,Clothing,10,2700,27000,Completed,Sneha Patel
ORD00225,2025-09-13,CUST3108,South,Beverage Set,Food,8,543,4344,Returned,Divya Menon
ORD00226,2025-08-23,CUST4959,West,Dress,Clothing,6,1641,9846,Completed,Kavita Nair
ORD00227,2025-12-01,CUST3754,South,Desk,Furniture,1,10006,10006,Completed,Suresh Babu
ORD00228,2025-07-07,CUST4128,South,Chair,Furniture,7,4563,31941,Completed,Suresh Babu
ORD00229,2025-10-11,CUST2182,East,Fruit Basket,Food,8,545,4360,Completed,Ankit Joshi
ORD00230,2025-12-15,CUST3502,East,T-Shirt,Clothing,7,496,3472,Returned,Ankit Joshi
ORD00231,2025-07-07,CUST4092,West,Dress,Clothing,9,1800,16200,Completed,Sneha Patel
ORD00232,2025-03-12,CUST3922,North,Fruit Basket,Food,8,468,3744,Cancelled,Amit Sharma
ORD00233,2025-06-17,CUST4814,North,Shoes,Clothing,10,3254,32540,Completed,Neha Gupta
ORD00234,2025-09-17,CUST4392,South,Running Shoes,Sports,8,4415,35320,Completed,Divya Menon
ORD00235,2025-02-26,CUST2706,North,Smartwatch,Electronics,8,7731,61848,Completed,Vijay Kumar
ORD00236,2025-10-23,CUST1932,East,Cycle Helmet,Sports,3,1546,4638,Cancelled,Priya Shah
ORD00237,2025-03-17,CUST4365,West,Smartwatch,Electronics,2,7581,15162,Completed,Rohan Desai
ORD00238,2025-03-19,CUST2691,West,Fruit Basket,Food,10,565,5650,Returned,Kavita Nair
ORD00239,2025-02-01,CUST3890,West,Dumbbells,Sports,9,1962,17658,Cancelled,Kavita Nair
ORD00240,2025-07-12,CUST2285,West,Fruit Basket,Food,6,518,3108,Cancelled,Kavita Nair
ORD00241,2025-12-15,CUST3634,North,Cycle Helmet,Sports,4,1709,6836,Completed,Neha Gupta
ORD00242,2025-04-26,CUST4856,North,Table,Furniture,8,7834,62672,Completed,Vijay Kumar
ORD00243,2025-05-21,CUST2178,East,Jump Rope,Sports,7,337,2359,Completed,Priya Shah
ORD00244,2025-03-16,CUST2189,East,Chair,Furniture,6,5655,33930,Completed,Ankit Joshi
ORD00245,2025-09-03,CUST1876,West,Running Shoes,Sports,9,4296,38664,Completed,Kavita Nair
ORD00246,2025-10-28,CUST1980,West,Smartwatch,Electronics,4,8475,33900,Completed,Rohan Desai
ORD00247,2025-06-19,CUST3938,South,Smartphone,Electronics,1,25104,25104,Returned,Lakshmi Rao
ORD00248,2025-07-28,CUST3674,South,Snack Box,Food,5,392,1960,Cancelled,Lakshmi Rao
ORD00249,2025-11-30,CUST3351,West,Yoga Mat,Sports,3,1205,3615,Cancelled,Sneha Patel
ORD00250,2025-07-23,CUST4227,South,Jacket,Clothing,1,2255,2255,Completed,Lakshmi Rao
ORD00251,2025-06-21,CUST2165,South,Jump Rope,Sports,8,336,2688,Completed,Divya Menon
ORD00252,2025-08-28,CUST2117,West,Tablet,Electronics,3,19490,58470,Completed,Kavita Nair
ORD00253,2025-04-06,CUST1057,North,Desk,Furniture,4,8494,33976,Cancelled,Neha Gupta
ORD00254,2025-08-07,CUST3110,North,Headphones,Electronics,2,3311,6622,Completed,Neha Gupta
ORD00255,2025-05-08,CUST1027,North,Snack Box,Food,8,435,3480,Returned,Neha Gupta
ORD00256,2025-10-26,CUST3960,East,Sofa,Furniture,4,22888,91552,Completed,Priya Shah
ORD00257,2025-03-23,CUST2660,North,Tablet,Electronics,6,18965,113790,Completed,Amit Sharma
ORD00258,2025-09-02,CUST1627,South,Running Shoes,Sports,7,4301,30107,Returned,Divya Menon
ORD00259,2025-12-07,CUST4381,West,Dress,Clothing,2,1856,3712,Completed,Rohan Desai
ORD00260,2025-02-09,CUST4757,East,Smartwatch,Electronics,9,7604,68436,Completed,Rahul Mehta
ORD00261,2025-06-17,CUST4499,South,Smartphone,Electronics,10,22488,224880,Returned,Suresh Babu
ORD00262,2025-01-29,CUST2857,West,Cycle Helmet,Sports,8,1561,12488,Completed,Kavita Nair
ORD00263,2025-06-07,CUST3962,East,Beverage Set,Food,1,651,651,Completed,Rahul Mehta
ORD00264,2025-08-05,CUST2411,East,Yoga Mat,Sports,2,1375,2750,Completed,Priya Shah
ORD00265,2025-07-29,CUST1737,West,Beverage Set,Food,7,607,4249,Returned,Rohan Desai
ORD00266,2025-07-12,CUST1328,West,Chair,Furniture,3,5741,17223,Completed,Sneha Patel
ORD00267,2025-04-25,CUST4419,East,Tablet,Electronics,8,19230,153840,Completed,Ankit Joshi
ORD00268,2025-07-14,CUST4372,West,Shoes,Clothing,6,2816,16896,Completed,Kavita Nair
